State,Congressional District,Land Area,Postal Abbr
Alabama,01,6066.83,AL
Alabama,02,10141.63,AL
Alabama,03,7543.86,AL
Alabama,04,8888.77,AL
Alabama,05,3677.31,AL
Alabama,06,4170.78,AL
Alabama,07,10156.13,AL
Arizona,01,55039.61,AZ
Arizona,02,7838.12,AZ
Arizona,03,15688.79,AZ
Arizona,04,33199.45,AZ
Arizona,05,293.47,AZ
Arizona,06,625.07,AZ
Arizona,07,205.12,AZ
Arizona,08,539.66,AZ
Arizona,09,164.79,AZ
Arkansas,01,19318.29,AR
Arkansas,02,4978.12,AR
Arkansas,03,5400.99,AR
Arkansas,04,22338.08,AR
California,01,28089.47,CA
California,02,12952.23,CA
California,03,6183.59,CA
California,04,12836.20,CA
California,05,1730.82,CA
California,06,175.04,CA
California,07,548.65,CA
California,08,32867.21,CA
California,09,1245.28,CA
California,10,1818.79,CA
California,11,493.61,CA
California,12,38.97,CA
California,13,96.79,CA
California,14,259.50,CA
California,15,599.45,CA
California,16,2839.51,CA
California,17,184.85,CA
California,18,696.12,CA
California,19,915.34,CA
California,20,4874.22,CA
California,21,6729.94,CA
California,22,1165.12,CA
California,23,9898.00,CA
California,24,6883.35,CA
California,25,1690.50,CA
California,26,939.12,CA
California,27,699.90,CA
California,28,218.45,CA
California,29,92.03,CA
California,30,135.94,CA
